# How often each 6-group pattern occurred (sorted by count descending)
# g1-g6: decade group (0-4) for each of the 6 drawn numbers in ascending order
g1	g2	g3	g4	g5	g6	count	probability
1	1	1	1	2	2	3	0.0011385199240986717
1	3	4	4	4	4	3	0.0011385199240986717
1	1	1	4	4	4	3	0.0011385199240986717
1	2	4	4	4	4	3	0.0011385199240986717
2	2	2	2	3	4	3	0.0011385199240986717
0	0	0	1	2	2	3	0.0011385199240986717
0	3	3	3	3	4	3	0.0011385199240986717
0	1	2	2	2	2	3	0.0011385199240986717
1	1	4	4	4	4	3	0.0011385199240986717
2	3	3	3	3	3	2	0.0007590132827324478
0	0	0	0	2	4	2	0.0007590132827324478
3	3	3	4	4	4	2	0.0007590132827324478
0	0	3	3	3	3	2	0.0007590132827324478
1	1	1	1	4	4	2	0.0007590132827324478
0	1	4	4	4	4	2	0.0007590132827324478
1	1	1	1	1	3	2	0.0007590132827324478
2	2	2	4	4	4	2	0.0007590132827324478
1	3	3	3	3	4	2	0.0007590132827324478
1	2	3	3	3	3	2	0.0007590132827324478
1	1	1	1	2	4	2	0.0007590132827324478
1	1	3	3	3	3	2	0.0007590132827324478
0	0	0	0	3	4	2	0.0007590132827324478
2	2	4	4	4	4	2	0.0007590132827324478
2	2	2	2	2	4	2	0.0007590132827324478
0	1	1	1	1	4	2	0.0007590132827324478
3	4	4	4	4	4	2	0.0007590132827324478
1	1	1	3	3	3	2	0.0007590132827324478
0	0	0	0	2	2	1	0.0003795066413662239
3	3	3	3	3	4	1	0.0003795066413662239
3	3	3	3	4	4	1	0.0003795066413662239
0	0	2	2	2	2	1	0.0003795066413662239
0	0	0	0	4	4	1	0.0003795066413662239
3	3	4	4	4	4	1	0.0003795066413662239
0	0	4	4	4	4	1	0.0003795066413662239
0	0	0	4	4	4	1	0.0003795066413662239
0	3	1	1	1	3	1	0.0003795066413662239
0	0	0	0	1	1	1	0.0003795066413662239
1	3	3	3	3	3	1	0.0003795066413662239
2	2	2	2	3	3	1	0.0003795066413662239
0	0	0	3	3	3	1	0.0003795066413662239
2	2	3	3	3	3	1	0.0003795066413662239
0	0	0	0	2	3	1	0.0003795066413662239
1	1	1	1	1	4	1	0.0003795066413662239
1	1	1	1	1	2	1	0.0003795066413662239
